iter	Passed	Remaining
566	22236	16981
567	22272	16939
568	22307	16897
569	22344	16856
570	22384	16817
571	22421	16777
572	22459	16736
573	22496	16695
574	22533	16655
575	22569	16613
576	22604	16571
577	22639	16529
578	22674	16486
579	22711	16446
580	22753	16409
581	22796	16373
582	22840	16337
583	22875	16294
584	22911	16253
585	22947	16211
586	22982	16169
587	23022	16131
588	23060	16091
589	23101	16053
590	23141	16014
591	23184	15978
592	23221	15937
593	23262	15899
594	23302	15861
595	23342	15822
596	23385	15786
597	23431	15751
598	23475	15715
599	23520	15680
600	23561	15642
601	23599	15602
602	23642	15565
603	23680	15525
604	23716	15484
605	23756	15445
606	23795	15406
607	23833	15366
608	23869	15324
609	23905	15283
610	23942	15243
611	23979	15202
612	24016	15162
613	24052	15121
614	24089	15080
615	24127	15040
616	24168	15002
617	24207	14963
618	24249	14925
619	24289	14887
620	24326	14846
621	24376	14814
622	24427	14781
623	24464	14741
624	24502	14701
625	24540	14661
626	24576	14620
627	24613	14579
628	24649	14539
629	24686	14498
630	24724	14458
631	24760	14417
632	24797	14376
633	24832	14335
634	24869	14295
635	24905	14254
636	24940	14212
637	24978	14172
638	25016	14133
639	25054	14092
640	25094	14054
641	25136	14016
642	25174	13977
643	25214	13938
644	25253	13899
645	25293	13860
646	25331	13820
647	25370	13781
648	25411	13743
649	25449	13703
650	25490	13665
651	25531	13627
652	25572	13588
653	25614	13551
654	25654	13512
655	25696	13475
656	25735	13435
657	25776	13397
658	25814	13357
659	25854	13318
660	25891	13278
661	25930	13239
662	25967	13198
663	26002	13157
664	26037	13116
665	26074	13076
666	26113	13037
667	26149	12996
668	26187	12956
669	26226	12917
670	26265	12878
671	26304	12838
672	26344	12800
673	26388	12763
674	26436	12728
675	26480	12691
676	26521	12653
677	26561	12614
678	26603	12576
679	26645	12539
680	26688	12501
681	26729	12463
682	26774	12426
683	26814	12387
684	26853	12348
685	26893	12309
686	26934	12271
687	26983	12236
688	27025	12198
689	27068	12160
690	27108	12122
691	27153	12085
692	27195	12047
693	27239	12010
694	27280	11972
695	27325	11935
696	27371	11898
697	27415	11861
698	27456	11823
699	27504	11787
700	27544	11748
701	27589	11711
702	27632	11673
703	27677	11637
704	27720	11599
705	27762	11561
706	27806	11523
707	27848	11485
708	27893	11448
709	27938	11411
710	27984	11374
711	28031	11338
712	28075	11300
713	28116	11262
714	28160	11224
715	28202	11186
716	28243	11147
717	28285	11109
718	28324	11069
719	28367	11031
720	28415	10995
721	28467	10960
722	28509	10922
723	28550	10883
724	28588	10844
725	28633	10806
726	28680	10769
727	28720	10730
728	28773	10696
729	28819	10659
730	28867	10622
731	28920	10588
732	28987	10558
733	29040	10524
734	29082	10485
735	29130	10448
736	29180	10413
737	29228	10376
738	29276	10339
739	29319	10301
740	29362	10263
741	29402	10223
742	29444	10184
743	29488	10146
744	29535	10109
745	29575	10069
746	29616	10030
747	29658	9991
748	29699	9952
749	29741	9913
750	29788	9876
751	29829	9837
752	29873	9799
753	29913	9759
754	29956	9721
755	30006	9684
756	30057	9648
757	30104	9611
758	30154	9574
759	30196	9535
760	30251	9500
761	30317	9469
762	30368	9433
763	30416	9395
764	30461	9357
765	30504	9318
766	30549	9280
767	30598	9243
768	30644	9205
769	30689	9166
770	30735	9129
771	30778	9089
772	30819	9050
773	30861	9011
774	30907	8973
775	30946	8933
776	30986	8893
777	31028	8853
778	31069	8814
779	31107	8773
780	31148	8734
781	31191	8695
782	31237	8657
783	31280	8617
784	31318	8577
785	31364	8539
786	31404	8499
787	31443	8459
788	31482	8419
789	31521	8379
790	31564	8339
791	31607	8301
792	31650	8261
793	31692	8222
794	31738	8184
795	31780	8144
796	31822	8105
797	31862	8065
798	31906	8026
799	31945	7986
800	31983	7945
801	32027	7906
802	32073	7868
803	32112	7828
804	32150	7788
805	32190	7748
806	32233	7708
807	32273	7669
808	32310	7628
809	32350	7588
810	32390	7548
811	32432	7508
812	32470	7468
813	32513	7429
814	32555	7389
815	32593	7349
816	32630	7309
817	32666	7268
818	32704	7227
819	32744	7187
820	32784	7147
821	32827	7108
822	32868	7068
